MemberID,CurrentGamesCoached,CurrentGamesWon,CurrentGamesLost,CurrentWin%
498,82,29,53,0.354
499,492,270,222,0.549
500,0,0,0,0
501,82,39,43,0.476
502,58,17,41,0.293
503,0,0,0,0
504,886,470,416,0.53
505,328,173,155,0.527
506,82,41,41,0.5
507,410,322,88,0.785
508,246,173,73,0.703
509,246,138,108,0.561
510,492,307,185,0.624
511,0,0,0,0
512,0,0,0,0
513,886,523,363,0.59
514,82,60,22,0.732
515,42,17,25,0.405
516,328,145,183,0.442
517,0,0,0,0
518,328,199,129,0.607
519,82,42,40,0.512
520,492,178,314,0.362
521,0,0,0,0
522,609,345,264,0.56
523,0,0,0,0
524,1820,1245,575,0.684
525,82,58,24,0.707
526,410,227,183,0.554
527,326,124,122,0.504
