ArenaName,CityState,ArenaCapacity
TD Garden,"Boston, Massachusetts",18624
Barclays Center,"New York City, New York",17732
Madison Square Garden,"New York City, New York",19812
Wells Fargo Center,"Philadelphia, Pennsylvania",21600
Scotiabank Arena,"Toronto, Ontario",19800
United Center,"Chicago, Illinois",20917
Rocket Mortgage FieldHouse,"Cleveland, Ohio",20562
Little Caesars Arena,"Detroit, Michigan",20491
Bankers Life Fieldhouse,"Indianapolis, Indiana",17923
Fiserv Forum,"Milwaukee, Wisconsin",18717
State Farm Arena,"Atlanta, Georgia",15711
Spectrum Center,"Charlotte, North Carolina",19077
American Airlines Arena,"Miami, Florida",19600
Amway Center,"Orlando, Florida",18846
Capital One Arena,"Washington, D.C.",20356
Pepsi Center,"Denver, Colorado",19520
Target Center,"Minneapolis, Minnesota",19356
Chesapeake Energy Arena,"Oklahoma City, Oklahoma",18203
Moda Center,"Portland, Oregon",19441
Vivint Smart Home Arena,"Salt Lake City, Utah",19911
Chase Center,"San Francisco, California",19596
Staples Center,"Los Angeles, California",19060
Staples Center,"Los Angeles, California",18997
Talking Stick Resort Arena,"Phoenix, Arizona",18055
Golden 1 Center,"Sacramento, California",17500
American Airlines Center,"Dallas, Texas",19200
Toyota Center,"Houston, Texas",18055
FedExForum,"Memphis, Tennessee",18119
Smoothie King Center,"New Orleans, Louisiana",16867
AT&T Center,"San Antonio, Texas",18418
