TeamName,Conference,Division,YrFounded,YrJoined
Boston Celtics,Eastern Conference,Atlantic,1946,1946
Brooklyn Nets,Eastern Conference,Atlantic,1967,1976
New York Knicks,Eastern Conference,Atlantic,1946,1946
Philadelphia 76ers,Eastern Conference,Atlantic,1946,1949
Toronto Raptors,Eastern Conference,Atlantic,1995,1995
Chicago Bulls,Eastern Conference,Central,1966,1966
Cleveland Cavaliers,Eastern Conference,Central,1970,1970
Detroit Pistons,Eastern Conference,Central,1941,1948
Indiana Pacers,Eastern Conference,Central,1967,1976
Milwaukee Bucks,Eastern Conference,Central,1968,1968
Atlanta Hawks,Eastern Conference,Southeast,1946,1949
Charlotte Hornets,Eastern Conference,Southeast,1988,1988
Miami Heat,Eastern Conference,Southeast,1988,1988
Orlando Magic,Eastern Conference,Southeast,1989,1989
Washington Wizards,Eastern Conference,Southeast,1961,1961
Denver Nuggets,Western Conference,Northwest,1967,1976
Minnesota Timberwolves,Western Conference,Northwest,1989,1989
Oklahoma City Thunder,Western Conference,Northwest,1967,1967
Portland Trail Blazers,Western Conference,Northwest,1970,1970
Utah Jazz,Western Conference,Northwest,1974,1974
Golden State Warriors,Western Conference,Pacific,1946,1946
Los Angeles Clippers,Western Conference,Pacific,1970,1970
Los Angeles Lakers,Western Conference,Pacific,1947,1948
Phoenix Suns,Western Conference,Pacific,1968,1968
Sacramento Kings,Western Conference,Pacific,1923,1948
Dallas Mavericks,Western Conference,Southwest,1980,1980
Houston Rockets,Western Conference,Southwest,1967,1967
Memphis Grizzlies,Western Conference,Southwest,1995,1995
New Orleans Pelicans,Western Conference,Southwest,2002,2002
San Antonio Spurs,Western Conference,Southwest,1967,1976
